,Period No.,Pair No.,Round Trip No.,Start Date,End Date,crypto 1,crypto 2,crypto 1 return,crypto 2 return,crypto 1 Long/Short,crypto 2 Long/Short,Quantity,Total Return
0,2,1,1,2019-03-05,2019-04-29,CRYPTO:ENJUSD,CRYPTO:ELFUSD,-0.4220665050162995,0.05393230335946053,-1,1,0.0888565039156819,-0.736753211766385
1,2,2,1,2019-03-08,2019-04-24,CRYPTO:ENJUSD,CRYPTO:BNBUSD,0.22754558492943466,0.6261402319439286,-1,1,0.0073468774798533,0.7220278986598608
2,2,3,1,2019-03-07,2019-04-29,CRYPTO:EOSUSD,CRYPTO:BNBUSD,0.18600548359278046,-0.4194714720877548,1,-1,1.021249737766048,-0.6016507566482333
3,2,4,1,2019-04-03,2019-04-29,CRYPTO:LTCUSD,CRYPTO:ARKUSD,0.2230964030338466,-0.32222823454813176,-1,1,43.0249174245528,0.16821930074659724
4,2,5,1,2019-04-02,2019-04-29,CRYPTO:LTCUSD,CRYPTO:NEOUSD,0.1420692536697905,-0.2003406975779155,-1,1,1.7436855593671945,0.14242027917067018
5,2,6,1,2019-04-19,2019-04-29,CRYPTO:QTUMUSD,CRYPTO:BNBUSD,-0.22105356712318414,0.12762027238491058,1,-1,1.2646432775208791,0.19526944445820468
6,2,7,1,2019-04-03,2019-04-29,CRYPTO:ARKUSD,CRYPTO:LTCUSD,-0.32222823454813176,0.2230964030338466,1,-1,0.0222130178920312,0.15873331301373
7,2,8,1,2019-03-01,2019-04-29,CRYPTO:THETAUSD,CRYPTO:XTZUSD,0.3651508885015744,1.7510474892866057,-1,1,0.0338206019442597,0.9819698853247253
8,2,9,1,2019-04-02,2019-04-29,CRYPTO:THETAUSD,CRYPTO:BNBUSD,-0.2221547359490056,-0.07126014370644951,1,-1,0.0131192070299591,-0.23418687837650887
9,2,10,1,2019-04-02,2019-04-29,CRYPTO:ETCUSD,CRYPTO:KCSUSD,-0.00036429872495447047,0.43871160298655476,1,-1,4.636041142336051,0.5585808982156499
10,2,11,1,2019-03-24,2019-04-29,CRYPTO:ETHUSD,CRYPTO:BNBUSD,0.07187548550202671,-0.25215400162187795,1,-1,37.428983857008674,-0.3634561675656178
11,2,12,1,2019-03-30,2019-04-29,CRYPTO:ETHUSD,CRYPTO:KCSUSD,0.042157589739364454,0.32120277114746465,1,-1,126.1963769600895,0.3876477571976961
12,2,13,1,2019-04-18,2019-04-29,CRYPTO:BATUSD,CRYPTO:BTMUSD,-0.052457659192206574,-0.1840133222314737,-1,1,0.2868911013673466,-0.12848965311973864
13,2,14,1,2019-03-31,2019-04-29,CRYPTO:BATUSD,CRYPTO:MANAUSD,-0.2771121096963409,-0.13251165034143997,-1,1,2.602546494613589,-0.45697643353455336
14,2,15,1,2019-03-29,2019-04-29,CRYPTO:BATUSD,CRYPTO:ZRXUSD,-0.30076751465054996,-0.12228104575163401,-1,1,0.2130253186390054,-0.5347556675394687
15,2,16,1,2019-04-02,2019-04-29,CRYPTO:NEOUSD,CRYPTO:LTCUSD,-0.2003406975779155,0.1420692536697905,1,-1,0.5589917906093231,0.13951926495665046
16,2,17,1,2019-03-31,2019-04-29,CRYPTO:MANAUSD,CRYPTO:BATUSD,-0.13251165034143997,-0.2771121096963409,1,-1,0.3283112514902869,-0.4465766047243364
17,2,18,1,2019-04-19,2019-04-29,CRYPTO:DASHUSD,CRYPTO:BNBUSD,-0.13729967785344366,0.12762027238491058,1,-1,27.004024284119225,0.17223565966330756
18,2,19,1,2019-03-06,2019-04-29,CRYPTO:BNBUSD,CRYPTO:ETCUSD,-0.4732919683926855,0.21415929203539852,-1,1,0.3845621138862207,-0.7991674403015067
19,2,20,1,2019-03-07,2019-04-29,CRYPTO:BNBUSD,CRYPTO:ETHUSD,-0.4194714720877548,0.06790870458447085,-1,1,0.0147297602130067,-0.694327716691469
20,2,21,1,2019-04-19,2019-04-29,CRYPTO:LSKUSD,CRYPTO:BNBUSD,-0.19116001139040983,0.12762027238491058,1,-1,0.7630137227048156,0.19230079884947995
21,2,22,1,2019-03-29,2019-04-29,CRYPTO:ZRXUSD,CRYPTO:BATUSD,-0.12228104575163401,-0.30076751465054996,1,-1,3.559698944494964,-0.5184265037982513
22,2,23,1,2019-03-30,2019-04-29,CRYPTO:KCSUSD,CRYPTO:ETHUSD,0.32120277114746465,0.042157589739364454,-1,1,0.0074268660071883,0.39659363813014537
23,2,24,1,2019-03-06,2019-04-29,CRYPTO:KCSUSD,CRYPTO:BNBUSD,1.370050410602488,-0.4732919683926855,1,-1,0.2966850838057231,-0.5676281087931592
24,2,25,1,2019-03-29,2019-04-29,CRYPTO:KCSUSD,CRYPTO:BCHUSD,0.26668553459119504,0.3772997119849526,-1,1,0.00294991651417,0.5864469085659506
