,Period No.,Pair No.,Round Trip No.,Start Date,End Date,crypto 1,crypto 2,crypto 1 return,crypto 2 return,crypto 1 Long/Short,crypto 2 Long/Short,Quantity,Total Return
0,2,1,1,2019-03-05,2019-04-29,CRYPTO:ENJUSD,CRYPTO:ELFUSD,-0.4220665050162995,0.05393230335946053,-1,1,0.0888565039156819,-0.736753211766385
1,2,2,1,2019-03-08,2019-03-30,CRYPTO:ENJUSD,CRYPTO:BNBUSD,0.2780627339019711,0.1908269913282301,-1,1,0.0073468774798533,0.4977041519845328
2,2,3,1,2019-03-07,2019-04-29,CRYPTO:EOSUSD,CRYPTO:BNBUSD,0.18600548359278046,-0.4194714720877548,1,-1,1.021249737766048,-0.6016507566482333
3,2,4,1,2019-04-03,2019-04-29,CRYPTO:LTCUSD,CRYPTO:ARKUSD,0.2230964030338466,-0.32222823454813176,-1,1,43.0249174245528,0.16821930074659724
4,2,5,1,2019-04-02,2019-04-29,CRYPTO:LTCUSD,CRYPTO:NEOUSD,0.1420692536697905,-0.2003406975779155,-1,1,1.7436855593671945,0.14242027917067018
5,2,6,1,2019-04-03,2019-04-29,CRYPTO:ARKUSD,CRYPTO:LTCUSD,-0.32222823454813176,0.2230964030338466,1,-1,0.0222130178920312,0.15873331301373
6,2,7,1,2019-04-02,2019-04-29,CRYPTO:THETAUSD,CRYPTO:BNBUSD,-0.2221547359490056,-0.07126014370644951,1,-1,0.0131192070299591,-0.23418687837650887
7,2,8,1,2019-04-02,2019-04-07,CRYPTO:ETCUSD,CRYPTO:KCSUSD,0.6029143897996359,0.3093905098420554,1,-1,4.636041142336051,0.8319282930889937
8,2,9,1,2019-03-30,2019-04-09,CRYPTO:ETHUSD,CRYPTO:KCSUSD,0.13929856362088366,0.3700064039122082,1,-1,126.1963769600895,0.5293852022854164
9,2,10,1,2019-04-18,2019-04-29,CRYPTO:BATUSD,CRYPTO:BTMUSD,-0.052457659192206574,-0.1840133222314737,-1,1,0.2868911013673466,-0.12848965311973864
10,2,11,1,2019-03-31,2019-04-29,CRYPTO:BATUSD,CRYPTO:MANAUSD,-0.2771121096963409,-0.13251165034143997,-1,1,2.602546494613589,-0.45697643353455336
11,2,12,1,2019-03-29,2019-04-29,CRYPTO:BATUSD,CRYPTO:ZRXUSD,-0.30076751465054996,-0.12228104575163401,-1,1,0.2130253186390054,-0.5347556675394687
12,2,13,1,2019-04-02,2019-04-29,CRYPTO:NEOUSD,CRYPTO:LTCUSD,-0.2003406975779155,0.1420692536697905,1,-1,0.5589917906093231,0.13951926495665046
13,2,14,1,2019-03-31,2019-04-29,CRYPTO:MANAUSD,CRYPTO:BATUSD,-0.13251165034143997,-0.2771121096963409,1,-1,0.3283112514902869,-0.4465766047243364
14,2,15,1,2019-03-29,2019-04-29,CRYPTO:ZRXUSD,CRYPTO:BATUSD,-0.12228104575163401,-0.30076751465054996,1,-1,3.559698944494964,-0.5184265037982513
15,2,16,1,2019-03-30,2019-04-08,CRYPTO:KCSUSD,CRYPTO:ETHUSD,0.25728008383303247,0.15966328856664203,-1,1,0.0074268660071883,0.4285691815404082
16,2,17,1,2019-03-29,2019-04-08,CRYPTO:KCSUSD,CRYPTO:BCHUSD,0.19762893081761002,0.8214306706636103,-1,1,0.00294991651417,0.6945757405124751
17,2,18,1,2019-03-29,2019-04-08,CRYPTO:BCHUSD,CRYPTO:KCSUSD,0.8214306706636103,0.19762893081761002,1,-1,313.947092702125,0.7123845852577259
18,3,1,1,2019-06-07,2019-06-29,CRYPTO:ELFUSD,CRYPTO:ARDRUSD,-0.008464817363374344,-0.004793989645240915,1,-1,4.698610334839314,-0.011545232271913074
19,3,2,1,2019-05-21,2019-06-29,CRYPTO:ENJUSD,CRYPTO:BNBUSD,-0.27677583261638594,-0.08713190551009209,1,-1,0.0091617509773964,-0.31235002639506226
20,3,3,1,2019-05-27,2019-06-07,CRYPTO:EOSUSD,CRYPTO:ARDRUSD,0.17193699590107736,0.3638177544342456,-1,1,44.93635483260783,0.46886291260043567
21,3,4,1,2019-06-21,2019-06-29,CRYPTO:EOSUSD,CRYPTO:BTCUSD,-0.1084689197544293,-0.1604321431853779,1,-1,0.0019088850182388,-0.2932074101005158
22,3,5,1,2019-05-15,2019-06-29,CRYPTO:EOSUSD,CRYPTO:AEUSD,0.02778008800477838,-0.09368818557813352,-1,1,3.290747750493824,0.002139946318629438
23,3,6,1,2019-05-15,2019-06-29,CRYPTO:LTCUSD,CRYPTO:EOSUSD,-0.3033254344953811,-0.02778008800477838,-1,1,8.292056085701704,-0.41665890714045234
24,3,7,1,2019-05-27,2019-06-25,CRYPTO:QTUMUSD,CRYPTO:EOSUSD,0.6363375172691448,0.11025746254424429,1,-1,1.2354630142238472,0.47814903393110375
25,3,8,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:ELFUSD,-0.004793989645240915,-0.008464817363374344,-1,1,0.2089368060626857,-0.011518852922007935
26,3,9,1,2019-05-27,2019-06-07,CRYPTO:ARDRUSD,CRYPTO:EOSUSD,0.3638177544342456,0.17193699590107736,1,-1,0.0210093825248518,0.4737601075353156
27,3,10,1,2019-06-19,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:LSKUSD,0.05514756976045054,-0.08085369974254164,-1,1,0.0268485902523119,0.02664852657948489
28,3,11,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:AEUSD,-0.004793989645240915,-0.0074832611264278315,-1,1,0.0712187738212362,-0.010853563302847103
29,3,12,1,2019-06-26,2019-06-29,CRYPTO:ETHUSD,CRYPTO:NULSUSD,0.03950855584662283,-0.029846604668902876,-1,1,117.12667322330898,0.045596525552116914
30,3,13,1,2019-06-22,2019-06-29,CRYPTO:NEOUSD,CRYPTO:OMGUSD,-0.057356804566399244,0.26691092398599037,-1,1,4.592630878053902,0.12678089861504768
31,3,14,1,2019-06-13,2019-06-29,CRYPTO:WAVESUSD,CRYPTO:LINKUSD,-0.20976940662604338,-1.0454257217904939,1,-1,2.580404625197404,-1.5207371049664347
32,3,15,1,2019-06-28,2019-06-29,CRYPTO:MANAUSD,CRYPTO:LINKUSD,-0.06873817067017707,-0.1935618584701564,-1,-1,0.0472953469983206,-0.3278922695515531
33,3,16,1,2019-06-22,2019-06-29,CRYPTO:OMGUSD,CRYPTO:NEOUSD,0.26691092398599037,-0.057356804566399244,1,-1,0.2158093083936927,0.12813246374245701
34,3,17,1,2019-06-02,2019-06-22,CRYPTO:KMDUSD,CRYPTO:NEOUSD,0.14998450706760535,0.23033037346498575,-1,1,0.0394814343120071,0.34161363663546795
35,3,18,1,2019-05-29,2019-06-27,CRYPTO:KMDUSD,CRYPTO:AEUSD,0.26574409146274935,-0.14460918909024345,-1,1,0.6412975215268744,0.376264642189839
