,Period No.,Pair No.,Round Trip No.,Start Date,End Date,crypto 1,crypto 2,crypto 1 return,crypto 2 return,crypto 1 Long/Short,crypto 2 Long/Short,Quantity,Total Return
0,2,1,1,2019-03-29,2019-04-29,CRYPTO:MANAUSD,CRYPTO:BATUSD,-0.1914232673554881,-0.30076751465054996,1,-1,0.3283112514902869,-0.5155532745247633
1,2,2,1,2019-03-29,2019-04-29,CRYPTO:BATUSD,CRYPTO:MANAUSD,-0.30076751465054996,-0.1914232673554881,-1,1,2.602546494613589,-0.5236087800201182
2,2,3,1,2019-04-02,2019-04-29,CRYPTO:LTCUSD,CRYPTO:WTCUSD,0.1420692536697905,-0.028971818118923687,-1,1,9.000009018104542,0.21955697552925074
3,2,4,1,2019-04-03,2019-04-29,CRYPTO:STEEMUSD,CRYPTO:ADAUSD,-0.2954936779929229,0.2997627729209682,1,-1,11.825892586167614,0.23819522120131903
4,2,5,1,2019-04-05,2019-04-25,CRYPTO:ELFUSD,CRYPTO:IOSTUSD,-0.2668518918945678,0.44259830220563345,1,-1,26.21000268217565,0.42777278576445643
5,2,6,1,2019-03-01,2019-04-29,CRYPTO:ENJUSD,CRYPTO:KMDUSD,-0.8757843883293897,-0.08885423636436895,-1,1,0.0383135912142791,-1.2264459798509397
6,2,7,1,2019-03-01,2019-04-29,CRYPTO:KMDUSD,CRYPTO:ENJUSD,-0.08885423636436895,-0.8757843883293897,1,-1,24.77583276789081,-1.208066712093806
7,3,1,1,2019-06-07,2019-06-29,CRYPTO:ELFUSD,CRYPTO:ARDRUSD,-0.008464817363374344,-0.004793989645240915,1,-1,4.698610334839314,-0.011545232271913074
8,3,2,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:ELFUSD,-0.004793989645240915,-0.008464817363374344,-1,1,0.2089368060626857,-0.011518852922007935
9,3,3,1,2019-05-29,2019-06-27,CRYPTO:KMDUSD,CRYPTO:LOOMUSD,0.26574409146274935,-0.24491342925520532,-1,1,5.479431009533183,0.2983613961454289
10,3,4,1,2019-06-17,2019-06-29,CRYPTO:BTMUSD,CRYPTO:WTCUSD,0.1565260058881257,-0.16468490862302332,-1,1,0.0531334921837847,0.10718538499319816
11,3,5,1,2019-06-17,2019-06-29,CRYPTO:WTCUSD,CRYPTO:BTMUSD,-0.16468490862302332,0.1565260058881257,1,-1,18.38944245482072,0.10393044970604676
12,3,6,1,2019-06-28,2019-06-29,CRYPTO:QTUMUSD,CRYPTO:ZILUSD,-0.051748939317356246,0.05155106857748715,-1,1,116.74156215275482,-0.04759580089334491
13,3,7,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:STEEMUSD,-0.004793989645240915,0.01433135810031505,-1,1,0.0949535206174659,-0.0007042671728475345
14,3,8,1,2019-05-27,2019-06-29,CRYPTO:EOSUSD,CRYPTO:LOOMUSD,0.21274757209187878,-0.14598342225443928,-1,1,27.01210754233537,0.27856781967128225
15,3,9,1,2019-06-07,2019-06-29,CRYPTO:STEEMUSD,CRYPTO:ARDRUSD,0.01433135810031505,-0.004793989645240915,1,-1,10.329814722202771,-0.0005717221366666259
16,4,1,1,2019-08-01,2019-08-29,CRYPTO:XTZUSD,CRYPTO:DASHUSD,0.3019921371718963,-0.2529980946688085,-1,1,0.0097504890324827,0.13471053331912877
17,4,2,1,2019-07-15,2019-08-29,CRYPTO:BCDUSD,CRYPTO:XMRUSD,-0.2517985611510791,0.25898801597869514,1,-1,0.0138464451307317,0.10872683823657775
18,4,3,1,2019-07-16,2019-07-30,CRYPTO:XTZUSD,CRYPTO:TUSDUSD,0.42276425742003654,0.007822418829612765,1,1,10.79350985295203,0.07734017001226036
19,4,4,1,2019-08-01,2019-08-29,CRYPTO:DASHUSD,CRYPTO:XTZUSD,-0.2529980946688085,0.3019921371718963,1,-1,87.15642367098783,0.09016850695065684
20,4,5,1,2019-08-05,2019-08-29,CRYPTO:XMRUSD,CRYPTO:BCDUSD,0.2860808210391277,-0.22291407222914073,-1,1,59.47538557873829,0.22808280661214314
21,4,6,1,2019-07-02,2019-07-09,CRYPTO:DCRUSD,CRYPTO:ARDRUSD,0.14706336495587014,0.1286478919100894,1,-1,390.29041817511273,0.2714744606704497
22,4,7,1,2019-08-06,2019-08-29,CRYPTO:XTZUSD,CRYPTO:ARDRUSD,0.32549152542372883,-0.16473939584556296,-1,1,13.652397547606515,0.2904734880591032
23,4,8,1,2019-08-05,2019-08-29,CRYPTO:XTZUSD,CRYPTO:ADAUSD,0.3220067827807114,-0.20805416710978775,-1,1,14.807574935615586,0.25942615103211014
24,4,9,1,2019-07-02,2019-07-05,CRYPTO:ARDRUSD,CRYPTO:BTMUSD,0.09110091522945452,0.20272020725388606,-1,1,0.4338780210420633,0.26235498422163817
25,4,10,1,2019-07-02,2019-07-05,CRYPTO:BTMUSD,CRYPTO:ARDRUSD,0.20272020725388606,0.09110091522945452,1,-1,2.113100531152522,0.26686851597179645
26,4,11,1,2019-07-03,2019-08-29,CRYPTO:XVGUSD,CRYPTO:DCRUSD,-0.4233859770585774,0.29465513064760385,1,-1,0.0003576373289157,0.00018911967708643723
27,4,12,1,2019-07-03,2019-08-29,CRYPTO:DCRUSD,CRYPTO:XVGUSD,0.29465513064760385,-0.4233859770585774,-1,1,2653.7021632737565,0.01826475634995903
28,4,13,1,2019-08-06,2019-08-29,CRYPTO:ARDRUSD,CRYPTO:XTZUSD,-0.16473939584556296,0.32549152542372883,1,-1,0.0546919282169675,0.22171382338801046
29,4,14,1,2019-07-01,2019-08-29,CRYPTO:OMGUSD,CRYPTO:NEOUSD,-0.563247884146819,0.4799231576749654,1,-1,0.2171438158290571,0.12474510493028794
30,4,15,1,2019-08-06,2019-08-29,CRYPTO:ADAUSD,CRYPTO:XTZUSD,-0.1642662077737459,0.32549152542372883,1,-1,0.0537994549812006,0.2567024028302929
31,4,16,1,2019-07-01,2019-08-29,CRYPTO:NEOUSD,CRYPTO:OMGUSD,0.4799231576749654,-0.563247884146819,-1,1,4.475179148500979,0.13905167477321664
32,4,17,1,2019-07-11,2019-08-29,CRYPTO:TUSDUSD,CRYPTO:EOSUSD,-0.001670104718989096,-0.317971873050792,1,1,0.0233090510671371,-0.06555387384701253
33,4,18,1,2019-08-01,2019-08-29,CRYPTO:TUSDUSD,CRYPTO:KMDUSD,-0.000902095904004474,-0.3272590381097076,1,1,0.1303618964656163,-0.07762473447821833
34,4,19,1,2019-07-07,2019-07-09,CRYPTO:KMDUSD,CRYPTO:TUSDUSD,0.1137640468493809,0.004685758987059585,-1,-1,6.118756916795393,0.05730535231279328
35,4,19,2,2019-08-04,2019-08-29,CRYPTO:KMDUSD,CRYPTO:TUSDUSD,-0.3148020010691238,-0.000728994421617446,1,1,6.118756916795393,-0.08893882317944382
36,4,20,1,2019-07-11,2019-08-29,CRYPTO:EOSUSD,CRYPTO:TUSDUSD,-0.317971873050792,-0.001670104718989096,1,1,36.66335160781882,-0.07494164170991482
37,4,21,1,2019-08-08,2019-08-29,CRYPTO:XTZUSD,CRYPTO:LSKUSD,0.36999746707193515,-0.1261855254486931,-1,1,0.3711761118738729,0.5093912101128614
