,Date,Crypto,Long/Short,Price,Open/Close,Transaction pair,Period No.,Pair No.,Round Trip No.,Quantity
0,2019-02-11,CRYPTO:XTZUSD,Long,0.38470595,Open,CRYPTO:BNBUSD,1,1,1,1.0
1,2019-02-11,CRYPTO:BNBUSD,Short,9.41577822,Open,CRYPTO:XTZUSD,1,1,1,0.3253297178006369
2,2019-03-01,CRYPTO:XTZUSD,Short,0.41215696,Close,CRYPTO:BNBUSD,1,1,1,1.0
3,2019-03-01,CRYPTO:BNBUSD,Long,11.27450197,Close,CRYPTO:XTZUSD,1,1,1,0.3253297178006369
4,2019-01-14,CRYPTO:LINKUSD,Short,0.49015369,Open,CRYPTO:ARDRUSD,1,2,1,1.0
5,2019-01-14,CRYPTO:ARDRUSD,Long,0.05195609,Open,CRYPTO:LINKUSD,1,2,1,0.42259462921436525
6,2019-03-01,CRYPTO:LINKUSD,Long,0.43499212,Close,CRYPTO:ARDRUSD,1,2,1,1.0
7,2019-03-01,CRYPTO:ARDRUSD,Short,0.05603183,Close,CRYPTO:LINKUSD,1,2,1,0.42259462921436525
8,2019-01-14,CRYPTO:LINKUSD,Short,0.49015369,Open,CRYPTO:WAVESUSD,1,3,1,1.0
9,2019-01-14,CRYPTO:WAVESUSD,Long,2.724946548,Open,CRYPTO:LINKUSD,1,3,1,0.06346301133702557
10,2019-03-01,CRYPTO:LINKUSD,Long,0.43499212,Close,CRYPTO:WAVESUSD,1,3,1,1.0
11,2019-03-01,CRYPTO:WAVESUSD,Short,2.6748345770000004,Close,CRYPTO:LINKUSD,1,3,1,0.06346301133702557
12,2019-01-04,CRYPTO:LINKUSD,Short,0.43233166,Open,CRYPTO:KMDUSD,1,4,1,1.0
13,2019-01-04,CRYPTO:KMDUSD,Long,0.76109987,Open,CRYPTO:LINKUSD,1,4,1,0.08398797133976321
14,2019-03-01,CRYPTO:LINKUSD,Long,0.43499212,Close,CRYPTO:KMDUSD,1,4,1,1.0
15,2019-03-01,CRYPTO:KMDUSD,Short,1.0098671,Close,CRYPTO:LINKUSD,1,4,1,0.08398797133976321
16,2019-01-15,CRYPTO:LINKUSD,Short,0.51532888,Open,CRYPTO:WTCUSD,1,5,1,1.0
17,2019-01-15,CRYPTO:WTCUSD,Long,1.14327704,Open,CRYPTO:LINKUSD,1,5,1,0.015848439616283905
18,2019-03-01,CRYPTO:LINKUSD,Long,0.43499212,Close,CRYPTO:WTCUSD,1,5,1,1.0
19,2019-03-01,CRYPTO:WTCUSD,Short,1.11188157,Close,CRYPTO:LINKUSD,1,5,1,0.015848439616283905
20,2019-01-13,CRYPTO:LINKUSD,Short,0.45041139,Open,CRYPTO:LSKUSD,1,6,1,1.0
