,Date,Crypto,Long/Short,Price,Open/Close,Transaction pair,Period No.,Pair No.,Round Trip No.,Quantity
0,2019-01-01,CRYPTO:MANAUSD,Long,0.04685035,Open,CRYPTO:TRXUSD,1,1,1,1.0
1,2019-01-01,CRYPTO:TRXUSD,Short,0.01963746,Open,CRYPTO:MANAUSD,1,1,1,1.036699504024662
2,2019-03-01,CRYPTO:MANAUSD,Short,0.04286147,Close,CRYPTO:TRXUSD,1,1,1,1.0
3,2019-03-01,CRYPTO:TRXUSD,Long,0.02374795,Close,CRYPTO:MANAUSD,1,1,1,1.036699504024662
4,2019-01-13,CRYPTO:MANAUSD,Long,0.03575293,Open,CRYPTO:MIOTAUSD,1,2,1,1.0
5,2019-01-13,CRYPTO:MIOTAUSD,Short,0.28191052785,Open,CRYPTO:MANAUSD,1,2,1,0.03366810285188709
6,2019-03-01,CRYPTO:MANAUSD,Short,0.04286147,Close,CRYPTO:MIOTAUSD,1,2,1,1.0
7,2019-03-01,CRYPTO:MIOTAUSD,Long,0.2917689915,Close,CRYPTO:MANAUSD,1,2,1,0.03366810285188709
8,2019-01-13,CRYPTO:MANAUSD,Long,0.03575293,Open,CRYPTO:BTSUSD,1,3,1,1.0
9,2019-01-13,CRYPTO:BTSUSD,Short,0.03711014,Open,CRYPTO:MANAUSD,1,3,1,0.20034461533857487
10,2019-03-01,CRYPTO:MANAUSD,Short,0.04286147,Close,CRYPTO:BTSUSD,1,3,1,1.0
11,2019-03-01,CRYPTO:BTSUSD,Long,0.04575425,Close,CRYPTO:MANAUSD,1,3,1,0.20034461533857487
12,2019-01-10,CRYPTO:TRXUSD,Short,0.02616728,Open,CRYPTO:MANAUSD,1,4,1,1.0
13,2019-01-10,CRYPTO:MANAUSD,Long,0.03877214,Open,CRYPTO:TRXUSD,1,4,1,0.702482279112918
14,2019-03-01,CRYPTO:TRXUSD,Long,0.02374795,Close,CRYPTO:MANAUSD,1,4,1,1.0
15,2019-03-01,CRYPTO:MANAUSD,Short,0.04286147,Close,CRYPTO:TRXUSD,1,4,1,0.702482279112918
16,2019-01-13,CRYPTO:MANAUSD,Long,0.03575293,Open,CRYPTO:BATUSD,1,5,1,1.0
17,2019-01-13,CRYPTO:BATUSD,Short,0.119377968475,Open,CRYPTO:MANAUSD,1,5,1,0.2174290000177749
18,2019-03-01,CRYPTO:MANAUSD,Short,0.04286147,Close,CRYPTO:BATUSD,1,5,1,1.0
19,2019-03-01,CRYPTO:BATUSD,Long,0.1624999119,Close,CRYPTO:MANAUSD,1,5,1,0.2174290000177749
20,2019-01-17,CRYPTO:REPUSD,Short,15.05865044,Open,CRYPTO:BNTUSD,1,6,1,1.0
21,2019-01-17,CRYPTO:BNTUSD,Long,0.57323434,Open,CRYPTO:REPUSD,1,6,1,10.220252492401025
22,2019-03-01,CRYPTO:REPUSD,Long,12.78988907,Close,CRYPTO:BNTUSD,1,6,1,1.0
23,2019-03-01,CRYPTO:BNTUSD,Short,0.52533412,Close,CRYPTO:REPUSD,1,6,1,10.220252492401025
