,Date,Crypto,Long/Short,Price,Open/Close,Transaction pair,Period No.,Pair No.,Round Trip No.,Quantity
0,2019-01-14,CRYPTO:LINKUSD,Short,0.49015369,Open,CRYPTO:WAVESUSD,1,1,1,1.0
1,2019-01-14,CRYPTO:WAVESUSD,Long,2.724946548,Open,CRYPTO:LINKUSD,1,1,1,0.06346301133702557
2,2019-03-01,CRYPTO:LINKUSD,Long,0.43499212,Close,CRYPTO:WAVESUSD,1,1,1,1.0
3,2019-03-01,CRYPTO:WAVESUSD,Short,2.6748345770000004,Close,CRYPTO:LINKUSD,1,1,1,0.06346301133702557
4,2019-01-15,CRYPTO:LINKUSD,Short,0.51532888,Open,CRYPTO:WTCUSD,1,2,1,1.0
5,2019-01-15,CRYPTO:WTCUSD,Long,1.14327704,Open,CRYPTO:LINKUSD,1,2,1,0.015848439616283905
6,2019-03-01,CRYPTO:LINKUSD,Long,0.43499212,Close,CRYPTO:WTCUSD,1,2,1,1.0
7,2019-03-01,CRYPTO:WTCUSD,Short,1.11188157,Close,CRYPTO:LINKUSD,1,2,1,0.015848439616283905
8,2019-01-13,CRYPTO:LINKUSD,Short,0.45041139,Open,CRYPTO:MKRUSD,1,3,1,1.0
9,2019-01-13,CRYPTO:MKRUSD,Long,422.56437786,Open,CRYPTO:LINKUSD,1,3,1,0.0005551711511561793
10,2019-03-01,CRYPTO:LINKUSD,Long,0.43499212,Close,CRYPTO:MKRUSD,1,3,1,1.0
11,2019-03-01,CRYPTO:MKRUSD,Short,674.92700908,Close,CRYPTO:LINKUSD,1,3,1,0.0005551711511561793
12,2019-01-02,CRYPTO:MIOTAUSD,Short,0.38611092075,Open,CRYPTO:BCHUSD,1,4,1,1.0
13,2019-01-02,CRYPTO:BCHUSD,Long,170.0,Open,CRYPTO:MIOTAUSD,1,4,1,0.0015545034759157142
14,2019-03-01,CRYPTO:MIOTAUSD,Long,0.2917689915,Close,CRYPTO:BCHUSD,1,4,1,1.0
15,2019-03-01,CRYPTO:BCHUSD,Short,130.5,Close,CRYPTO:MIOTAUSD,1,4,1,0.0015545034759157142
16,2019-02-06,CRYPTO:ARDRUSD,Short,0.04753572,Open,CRYPTO:XLMUSD,1,5,1,1.0
17,2019-02-06,CRYPTO:XLMUSD,Long,0.07484049,Open,CRYPTO:ARDRUSD,1,5,1,2.7350704330516185
18,2019-03-01,CRYPTO:ARDRUSD,Long,0.05603183,Close,CRYPTO:XLMUSD,1,5,1,1.0
19,2019-03-01,CRYPTO:XLMUSD,Short,0.08615517,Close,CRYPTO:ARDRUSD,1,5,1,2.7350704330516185
20,2019-01-06,CRYPTO:ARKUSD,Long,0.4675382,Open,CRYPTO:USDTUSD,1,6,1,1.0
21,2019-01-06,CRYPTO:USDTUSD,Short,1.011,Open,CRYPTO:ARKUSD,1,6,1,77.37138486091352
22,2019-03-01,CRYPTO:ARKUSD,Short,0.57059585,Close,CRYPTO:USDTUSD,1,6,1,1.0
23,2019-03-01,CRYPTO:USDTUSD,Long,0.9954,Close,CRYPTO:ARKUSD,1,6,1,77.37138486091352
24,2019-02-10,CRYPTO:ARKUSD,Short,0.56403955,Open,CRYPTO:XLMUSD,1,7,1,1.0
25,2019-02-10,CRYPTO:XLMUSD,Long,0.08070067,Open,CRYPTO:ARKUSD,1,7,1,14.536620055639265
26,2019-03-01,CRYPTO:ARKUSD,Long,0.57059585,Close,CRYPTO:XLMUSD,1,7,1,1.0
27,2019-03-01,CRYPTO:XLMUSD,Short,0.08615517,Close,CRYPTO:ARKUSD,1,7,1,14.536620055639265
28,2019-01-16,CRYPTO:BNTUSD,Long,0.56788494,Open,CRYPTO:REPUSD,1,8,1,1.0
29,2019-01-16,CRYPTO:REPUSD,Short,13.82179276,Open,CRYPTO:BNTUSD,1,8,1,0.09305730134613842
30,2019-03-01,CRYPTO:BNTUSD,Short,0.52533412,Close,CRYPTO:REPUSD,1,8,1,1.0
31,2019-03-01,CRYPTO:REPUSD,Long,12.78988907,Close,CRYPTO:BNTUSD,1,8,1,0.09305730134613842
32,2019-01-19,CRYPTO:ETCUSD,Long,4.46,Open,CRYPTO:REPUSD,1,9,1,1.0
33,2019-01-19,CRYPTO:REPUSD,Short,17.55375335,Open,CRYPTO:ETCUSD,1,9,1,0.3675928378668655
34,2019-03-01,CRYPTO:ETCUSD,Short,4.58,Close,CRYPTO:REPUSD,1,9,1,1.0
35,2019-03-01,CRYPTO:REPUSD,Long,12.78988907,Close,CRYPTO:ETCUSD,1,9,1,0.3675928378668655
36,2019-01-17,CRYPTO:ETHUSD,Long,167.3475,Open,CRYPTO:REPUSD,1,10,1,1.0
37,2019-01-17,CRYPTO:REPUSD,Short,15.05865044,Open,CRYPTO:ETHUSD,1,10,1,10.039823150480133
38,2019-03-01,CRYPTO:ETHUSD,Short,176.595,Close,CRYPTO:REPUSD,1,10,1,1.0
39,2019-03-01,CRYPTO:REPUSD,Long,12.78988907,Close,CRYPTO:ETHUSD,1,10,1,10.039823150480133
40,2019-02-19,CRYPTO:BATUSD,Long,0.1387259805,Open,CRYPTO:MKRUSD,1,11,1,1.0
41,2019-02-19,CRYPTO:MKRUSD,Short,631.00553535,Open,CRYPTO:BATUSD,1,11,1,0.0004216285532198425
42,2019-03-01,CRYPTO:BATUSD,Short,0.1624999119,Close,CRYPTO:MKRUSD,1,11,1,1.0
43,2019-03-01,CRYPTO:MKRUSD,Long,674.92700908,Close,CRYPTO:BATUSD,1,11,1,0.0004216285532198425
44,2019-01-10,CRYPTO:TRXUSD,Short,0.02616728,Open,CRYPTO:MANAUSD,1,12,1,1.0
45,2019-01-10,CRYPTO:MANAUSD,Long,0.03877214,Open,CRYPTO:TRXUSD,1,12,1,0.702482279112918
46,2019-03-01,CRYPTO:TRXUSD,Long,0.02374795,Close,CRYPTO:MANAUSD,1,12,1,1.0
47,2019-03-01,CRYPTO:MANAUSD,Short,0.04286147,Close,CRYPTO:TRXUSD,1,12,1,0.702482279112918
48,2019-01-13,CRYPTO:MANAUSD,Long,0.03575293,Open,CRYPTO:BATUSD,1,13,1,1.0
49,2019-01-13,CRYPTO:BATUSD,Short,0.119377968475,Open,CRYPTO:MANAUSD,1,13,1,0.2174290000177749
50,2019-03-01,CRYPTO:MANAUSD,Short,0.04286147,Close,CRYPTO:BATUSD,1,13,1,1.0
51,2019-03-01,CRYPTO:BATUSD,Long,0.1624999119,Close,CRYPTO:MANAUSD,1,13,1,0.2174290000177749
52,2019-01-01,CRYPTO:MANAUSD,Long,0.04685035,Open,CRYPTO:TRXUSD,1,14,1,1.0
53,2019-01-01,CRYPTO:TRXUSD,Short,0.01963746,Open,CRYPTO:MANAUSD,1,14,1,1.036699504024662
54,2019-03-01,CRYPTO:MANAUSD,Short,0.04286147,Close,CRYPTO:TRXUSD,1,14,1,1.0
55,2019-03-01,CRYPTO:TRXUSD,Long,0.02374795,Close,CRYPTO:MANAUSD,1,14,1,1.036699504024662
56,2019-01-01,CRYPTO:MANAUSD,Long,0.04685035,Open,CRYPTO:WAVESUSD,1,15,1,1.0
57,2019-01-01,CRYPTO:WAVESUSD,Short,3.14009066275,Open,CRYPTO:MANAUSD,1,15,1,0.010053935390419945
58,2019-03-01,CRYPTO:MANAUSD,Short,0.04286147,Close,CRYPTO:WAVESUSD,1,15,1,1.0
59,2019-03-01,CRYPTO:WAVESUSD,Long,2.6748345770000004,Close,CRYPTO:MANAUSD,1,15,1,0.010053935390419945
60,2019-02-06,CRYPTO:MANAUSD,Long,0.03232764,Open,CRYPTO:BNBUSD,1,16,1,1.0
